clip,expected_dur,file_dur,delta,status
p01,27.5,27.5,0.0,OK
p02,34.0,34.0,0.0,OK
p03,18.1,18.1,0.0,OK
p04,21.2,21.2,0.0,OK
p05,35.5,35.5,0.0,OK
p06,37.5,37.5,0.0,OK
p07,39.0,39.0,0.0,OK
p08,49.5,49.5,0.0,OK
p09,20.5,20.5,0.0,OK
p10,20.0,20.0,0.0,OK
p11,25.5,25.5,0.0,OK
p12,70.0,70.0,0.0,OK
p13,46.5,46.5,0.0,OK
p14,15.5,15.5,0.0,OK
p15,42.0,42.0,0.0,OK
p16,49.0,49.0,0.0,OK
p17,31.5,31.5,0.0,OK
p03-p04,39.5,39.5,0.0,OK
p06-p07,76.5,76.5,0.0,OK
p08-p09,70.0,70.0,0.0,OK
p12-p13,116.5,116.5,0.0,OK
p14-p15,57.5,57.5,0.0,OK
q-1,3.0,3.0,0.0,OK
q-2,5.0,5.0,0.0,OK
q-3-4,5.0,5.0,0.0,OK
q-5,4.0,4.0,0.0,OK
q-6-7,6.5,6.5,0.0,OK
q-8-9,5.5,5.5,0.0,OK
q-10,4.5,4.5,0.0,OK
q-11,6.0,6.0,0.0,OK
q-12-13,20.5,20.5,0.0,OK
q-14-15,3.0,3.0,0.0,OK
q-16,10.0,10.0,0.0,OK
q-17,8.5,8.5,0.0,OK
